,Ref_x,Subject,Locale_processed
48384,5185404,GUICHAUX MATERIAUX,FRA
48397,5185425,GROUPE PIERRE HENRY,FRA
48398,5185426,GROUPE PASTORELLO,FRA
48399,5185428,GROUPE MILLET INDUSTRIES,FRA
48400,5185430,GROUPE GAZECHIM SERVICES,FRA
48401,5185431,GROUPE GASCOGNE,FRA
48509,5185553,GESTECO,FRA
48510,5185554,GERGONNE SAS,FRA
48535,5185581,GARDIENNAGE ECLIPSE SURET,FRA
48584,5185639,FOSELEV LOGISTIQUE,FRA
48628,5185689,FINANCIERE FLORE,FRA
48629,5185690,FINANCIERE DURIEZ,FRA
48630,5185691,FINANCIERE DU BOIS LEURE,FRA
48631,5185692,FINANCIERE AFG,FRA
48633,5185695,FIGEAC AERO,FRA
48659,5185726,FAMY TP,FRA
48660,5185727,FAMY SAS,FRA
48661,5185728,FAMILLE C,FRA
48691,5185764,EVERAXIS INDUSTRIES,FRA
48700,5185777,EUROPTOURS,FRA
48702,5185779,EUROPE SNACKS,FRA
48705,5185782,EUROAPI,FRA
48708,5185786,EURO DISNEY ASSOCIES SAS,FRA
48710,5185788,EURL LES SAULES,FRA
48713,5185792,EUPEC INTERNATIONAL,FRA
48717,5185796,ETIENNE LACROIX FINANCES,FRA
48722,5185803,ETABLISSEMENTS CANCE,FRA
48723,5185805,ETABLISSEMENTS BAUSSANT,FRA
48724,5185806,ETABLISSEMENT PUBLIC DE G,FRA
48725,5185807,ETABLISSEMENT PIERRE BERN,FRA
48740,5185822,ERNEST BIDCO,FRA
48751,5185837,EOLMED,FRA
48786,5185874,EMBALLAGES IMBERT,FRA
48787,5185875,EMBALLAGES IMBERT,FRA
48816,5185906,EIFFAGE METAL,FRA
48817,5185907,EIFFAGE CONSTRUCTION NORD,FRA
48822,5185913,EGC AERO,FRA
48830,5185921,EDF SA,FRA
48831,5185922,EDF SA,FRA
48832,5185923,EDF SA,FRA
48835,5185928,ECORECEPT SAS,FRA
48886,5185985,DSI PLASTICS,FRA
48950,5186058,DEMATHIEU BARD HOLDING 4,FRA
48954,5186064,DELPHARM,FRA
49000,5186119,DAIICHI SANKYO ALTKIRCH,FRA
49001,5186120,DAGARD,FRA
49025,5186146,CSTB (CENTRE SCIENTIFIQUE,FRA
49028,5186149,CS FAVERGES LA FOURCHE,FRA
49065,5186187,COSNET INDUSTRIES SAS,FRA
49079,5186202,COOPERATIVE SCAEL,FRA
49080,5186204,COOPERATIVE EVEN,FRA
49111,5186240,COMTOISE DE SPECIALITES F,FRA
49120,5186252,COMMUNE DE MEGEVE - MAIRI,FRA
49121,5186253,COMMUNAUTÉ DAGGLOMÉRATIO,FRA
49128,5186262,COLAS SA,FRA
49147,5186283,CLTM EUROPORTS,FRA
49158,5186297,CLAIRE HOLDING,FRA
49177,5186317,CIC VNS,FRA
49246,5186392,CHARLES CHRIST,FRA
49247,5186393,CHARLATTE RESERVOIRS,FRA
49262,5186409,CH INVESTISSEMENTS,FRA
49285,5186439,CCI SEINE ESTUAIRE,FRA
49286,5186440,CCI ROUEN MÉTROPOLE,FRA
49287,5186441,CCI METROPOLITAINE,FRA
49288,5186442,CCI DU MANS ET DE LA SART,FRA
49290,5186444,CCI DE LIMOGES ET DE LA H,FRA
49291,5186445,CCI DE LA GUYANE,FRA
